ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
869,645,21/10/2024,MCE - Champagne Society,"4-4,5/5",paglierino caldo,bel frutto bianco e gesso,"fresco e bello sapido come vorresti sempre lo Chardonnay, bella bocca e palato, ottima la struttura e persistenza",veramente bella bottiglia,,,
870,646,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,"3,5-4/5",paglierino,"lattico, agrume,","fresco e sapido, minerale e sapidità finale veramente lungo, di buona bevibilità",molto interessante,,,
871,647,12/04/2025,Printemps - Ay,"3,5-4/5","paglierino con riflessi verdi, non filtrato","frutta bianca anche tropicale, agrume, burro","fresco e sapido, gusto di frutta bianca soprattutto ananas,","vino artigianale, non filtrato ma buono, scaraffato con grande piacere",,,
872,648,27/04/2022,Champagne Society (Rubiera),3/5,,,,,,,
873,649,27/04/2022,Champagne Society (Rubiera),3/5,,,,,,,
874,650,15/10/2023,Confine - Champagne Society,"4-4,5/5",paglierino,"Naso: frutta bianca e agrume, burro, biscotto, pasticceria","Bocca: fresco e sapido, nata dolce ma gradevole, soprattutto sul cotechino","Considerazioni: selossiamo al naso, grande bottiglia",,,
875,650,24/10/2023,Confine - Champagne Society,"4-4,5/5",dorato,"Naso: agrume, frutta bianca, pasticceria","Bocca: fresco e sapido, lungo, dritto",Considerazioni: grande champagne,,,
876,651,17/12/2023,Champagne Society - Rubiera,"3,5-4/5",paglierino,Naso: bellissima evoluzione e complessità di frutta e terziarizzazione,"Bocca: sapido e fresco ma complesso,",Considerazioni: bello berne un bicchere,,,
877,651,02/04/2024,Gesto - Milano,"3,5-4/5",dorato,"Naso: complesso di ossidazione positiva, pasticceria e crema pasticcera, agrume e fruttato","Bocca: fresco e sapido, nota di frutta secca e agrume",Considerazioni: bel vino ma troppo opulento,,,
878,652,19/10/2024,Exe Maranello - Champagne Society,"4-4,5/5",leggermente dorato,Naso: complesso e profondo da micro ossigenazione positiva,"Bocca: grande in bocca, fresco, sapido, ottima struttura e persistenza","Considerazioni: selossiamo anche se ha un suo marker, su piatti strutturati di carne si esalta",,,
879,653,25/04/2022,Ristorante La Tortuga,3/5,,,,,,,
880,653,15/08/2022,Ristorante La Tortuga,3/5,,,acidità spiccata con forte agrume (limone) e mineralità; aprendosi arriva burro,,,,
881,653,16/12/2022,Festa Natale intarget,3/5,,,,,,,
882,653,05/04/2023,Ristorante La Tortuga,3/5,"paglierino, bolla fine","Agrume, frutta bianca e leggera pietra focaia.","Al palato fresco ma esile, non lungo, con leggera sapidità",Complessivamente buono da tavola di taverna di pesce,,,
883,653,03/06/2023,Ristorante La Tortuga,3/5,paglierino,"Frutta bianca, agrume, floreale, burro, croissant,","Fresco e sapido, agrume e leggera mandorla amara",,,,
884,654,30/08/2023,Ristorante La Tortuga,"3,5-4/5",paglierino acceso,"Al naso spiccato agrume e frutta bianca e gialla, mineralità, con progressive note di delicata pasticceria a denotare una complessità interessante (nota su bicchiere per nulla adatto)","Al palato fresco con spiccata acidità citrina da agrume e sapidità, una lama, ottima persistenza e bevibilitá.",,,,
885,654,31/10/2023,Ristorante La Tortuga,"3,5-4/5","paglierino carico, bolla bella anche se bicchiere inadeguato","Naso: agrume, frutta bianca, pietra focaia, pasticceria","Bocca: freschezza e sapidità, un agrume marcata ma piacevole, nocciola e frutta secca, bolla fragrante, persistente","Considerazioni: la mia solita bottiglia da Giovanni che si conferma ottima per la sua cucina di pesce. Buona complessità olfattiva e gustativa, bevuta non banale, piacevole. Ottima beva. Sgrassante",,,
886,654,19/04/2024,Ristorante La Tortuga,"3,5-4/5",paglierino,"Naso: agrume e frutta bianca, gesso, fiori bianchi e leggera pasticceria","Bocca: fresco, sapido, minerale, bolla fragrante, buona bevibilità","Considerazioni: la bottiglia da bere alla Tortuga, uno chardonnay di tutto rispetto che accompagna bene la tavola",,,
887,655,17/12/2023,Champagne Society - Rubiera,"3,5/5",paglierino con riflessi dorati,"Naso: complessità evolutiva di frutta candita e panettone, acetone","Bocca: fresco e sapido con nota di mandorla, lungo",Considerazioni: bello assaggiarlo ma non più di un bicchiere,,,
888,656,12/03/2023,Arnaldo - Rubiera,"3,5-4/5",,,,,,,
889,656,13/06/2023,Top Missori,"3,5-4/5",paglierino,Agrume e frutta bianca con leggera pasticceria,"Bella freschezza agrumata, sapidità, bolla fragrante ma elegante","Bella bottiglia, divertente ma elegante, fragrante",,,
890,657,18/06/2022, Mamma,"3,5/5",paglierino,"Frutta bianca e agrume, pasticceria",Fresco e sapido al palato con leggera frutt secca,Giudizio generale: piacevolissimo e beverino,,,
891,657,22/03/2025,Il Boschetto (Modena) - Champagne Society,"3,5/5",paglierino,"Naso: bellissimo agrume e frutta in grande equilibrio con nota ossidativa, pasticceria","Bocca: fresco e sapido, bellissimo equilibrio gustativo, ottima struttura e persistenza, punto dolce da residuale",Giudizio Genarale: veramente buono,,,
892,658,14/09/2024,Casa,4/5,paglierino,"Naso: bello di frutta bianca tra cui mela, pera, ananas, ben strutturata e complessamente semplice, poi nota di burro e pasticceria leggera ma intrigante e ben in armonia con note fruttate",Bocca: fresco e leggera sapidità che rendano godibile la bevuta con una bolla fragrantemente piacevole e una struttura e persistenza da grande vino,"Considerazioni: espressivo e identitario, di ottima bevibilità",,,
893,659,23/03/2024,Champagne Society - Miniere F&R,"3,5/5",paglierino e bolla frizzante e sbarazzina,"Naso: frutta bianca, si percepisce pasticceria","Bocca: fresco e sapido, fragrante in bocca e lungo","Considerazioni: sboccato da 2 settimane, deve fare ancora almeno 6 mesi di riposo per equilibrarsi, ma sarà buonissimo",,,
894,660,30/01/2025,Champagne Society - Oasy - Milano,"4,5/5",dorato,"Naso: agrume, frutta matura, tropicale, candita, frutta secca, zenzero, pasticceria varia","Bocca: fresco e sapido, gusto fruttato e agrumato, grande freschezza, ottima struttura e lunghezza","Considerazioni: conferma ogni assaggio, grande champagne che adoro",,,
895,661,01/11/2022,The Fratellini's Forte dei Marmi,4/5,,,,,,,
896,662,08/03/2023,Top Missori,"4-4,5/5",paglierino,"Frutta bianca, agrume, piacevole la leggerà ossidazione che esce nel permanere in bicchiere di pietra focaia.","Fresco da bella acidità, un agrume stuzzicante si conferma anche al palato, bolla frizzante, lungo e dritto, per certi versi tagliente come una lama.",Un ottimo champagne,,,
897,662,24/10/2023,Confine - Champagne Society,"4-4,5/5",Vista: giallo paglierino,"Naso: agrume, frutta bianca e gialla, rossa, fume, balsamico","Bocca: fresco e sapido, lungo","Considerazioni: grande vino, pur essendo il suo ingresso, grande gestione del legno",,,
898,663,17/12/2023,Champagne Society - Rubiera,"4-4,5/5",paglierino,"Naso: complesso di frutta e agrume, minerale e pasticceria",Bocca: fresco e sapido,"Considerazioni: grande, da bere a secchi!!!",,,
899,663,23/02/2024,Intarget - Polo,"4-4,5/5",paglierino con riflessi dorati,"Naso: parte con complessità aromatica che porta dalla pasticceria al cioccolato ai fiori e alla frutta, con sentori di agrumi mediterranei","Bocca: audace e complesso, fresco e sapido, di ottima struttura, grande bevibilità.","Considerazioni: si conferma una ottima bevuta, bottiglia dalla tavola alla meditazione",,,
900,663,02/06/2024,Casa,"4-4,5/5","dorato, bolla fine e vivace","Naso: complesso di frutta gialla ben presente ma anche bianca e rossa, floreale, pasticceria","Bocca: fresco e sapido, bolla fragrante, di corpo e persistenza, ottima bevibilità","Considerazioni: ottima bottiglia, conferma della grande qualità del vigneron",,,
901,663,28/10/2024,Intarget - Polo,"4-4,5/5",paglierino,"Naso: bello complesso, agrume, bouquet di frutta varia dalla gialla alla rossa, eleganti note di pasticceria","Bocca: fresco e leggera sapidità, bella struttura e lungo, grande bevibilità","Considerazioni: grande bottiglia, una delle mie preferite",,,
902,664,28/06/2023,Champagne Society - Bu:r,4/5,paglierino con riflessi dorati,"* Olfatto: floreale, agrume, crosta di pane","* Palato: freschezza e acidità, agrume di pompelmo","* Giudizio Generale: unico difetto di questa bottiglia è che non esiste, veramente ottimo",,,
903,665,20/05/2023,Tour Champagne Society,"3,5-4/5",,"Olfatto di frutta rossa e bianca, con una nota amaricante di alto piacere",,Rosé dritto e altamente piacevole. Rose da avere a casse. Base 19,,,
904,666,26/08/2023,Casa Mamma,"3,5-4/5",rosa carico con bolla fine ed elegante.,"Naso meravigliosamente elegante con sentori di frutta rossa e agrumi, frutta secca e pasticceria.","Palato fresco e sapido, di ottima struttura ma non opulento, leggero di grande bevibilità.","Giudizio generale un Vino piacevole, vivace ma equilibrato e che spinge la bevuta naturale.",,,
905,666,21/07/2024,Casa,"3,5-4/5",rosa,"Naso: fruttato con dominanza di frutti rossi, agrume, leggera spezia, pasticceria e croissant","Bocca: fresco e sapido, bolla fragrante, ottima struttura e persistenza, retrogusto di frutta, agrume e pasticceria, anche leggera spezia","Considerazioni: un ottimo Rosè, gastronomico, sia tavola sia aperitivo, ma anche da gustare per gustarlo",,,
906,667,20/05/2023,Tour Champagne Society,"3,5/5",,,Fresco e sapido in perfetto equilibrio,,,,
907,668,11/10/2023,Millesimè 1990 - Milano,"3,5-4/5","dorato, bolla fine ed elegante","Naso: frutta gialla e agrume,","Bocca: fresco e sapido, agrume, bolla elegante e leggera mandorla",Considerazioni: grande vino di buona persistenza e ottima bevibilità,,,
908,669,23/03/2024,Champagne Society - Miniere F&R,4/5,"dorato, bolla vivace","Naso: molto complesso dalla frutta bianca e rossa, sempre matura ma in positivo, alla frutta secca, al fumè alla pasticceria","Bocca: fresco e sapido, aromi belli complessi di frutta secca, persistente e di struttura",Considerazioni: altro grande champagne,,,
909,670,23/03/2024,Champagne Society - Miniere F&R,4/5,"dorato, bolla fine",Naso: complessità di frutto giallo maturo e pasticceria,"Bocca: fresco e salino, molto lungo, bella struttura",Considerazioni: grande bottiglia,,,
910,671,23/03/2024,Champagne Society - Miniere F&R,"4,5/5","dorato, bolla fine",Naso: complessità di frutto giallo maturo e pasticceria,"Bocca: fresco e salino, molto lungo, bella struttura",Considerazioni: grande bottiglia,,,
911,672,23/03/2024,Champagne Society - Miniere F&R,"3,5/5","dorato, bolla fine","Naso: frutta gialla e rossa, pasticceria e crema","Bocca: fresco e sapido, leggero residuo zuccherino, bella beva, persistente","Considerazioni: molto interessante, gastronomico",,,
912,673,01/04/2025,Remedy,"4,5/5",dorato,"Naso: complesso, elegante, profondo, intrigante. Agrume e frutta, note di mela verde, agrumi e fiori di montagna, che si intrecciano a delicati accenni di nocciola, delicata e coinvolgente pasticceria","Bocca: ampio, di ottima struttura, fresco, sapido, mineralità distintiva e una texture fine, quasi setosa, gustativamente ricco, coinvolgente, acidità agrumata meravigliosa, lungo","Giudizio Generale: una bevuta che si ricorda, grande champagne",,,
913,674,24/10/2023,Confine - Champagne Society,3/5,riflessi rossi,"Naso: frutta gialla, agrume sanguinella, pasticceria","Bocca: fresco, sapido, agrume sanguinella, ma cade e corto","Considerazioni: buono ma molto giovane e comunque cade, finisce presto",,,
914,675,17/12/2024,Manlio Giustiniani,4/5,dorato riflessi rossi,"Naso: agrumato di mandarino e pompelmo, frutta bianca e gialla di pesca, pasticceria, speziato, poi esce il croccante","Bocca: fresco e sapido, aromi di agrume e pesca, ottima struttura e buona persistenza, grande bevibilità,","Considerazioni: molto buono, vibrante, ricco",,,
915,676,17/12/2024,Manlio Giustiniani,"3,5/5",paglierino con riflessi rossi,"Naso: agrume, fumè (lieviti) che poi sparisce, frutta gialla e rossa, pasticceria. Lavora in riduzione, quindi ha bisogno di tempo/aria","Bocca: fresco e sapido, buona struttura e ottima persistenza, note aromatiche di agrume e frutta gialla, leggermente diluito (fa sur tirage per togliere le fecce fini), ottima bevibilità","Considerazioni: buona bottiglia, champagne moderno",,,
916,677,17/12/2024,Manlio Giustiniani,"3,5-4/5",rosa cerusolo,"Naso: agrume rosso, fruttato,","Bocca: fresco, bitter, radice di liquirizia, ottima struttura e persistenza,",Considerazioni: (unico con fermentazione in legno e poi affinamento in acciaio) Rose de saigne interessante ma non mi coinvolge,,,
917,678,19/10/2024,Exe Fiorano - Champagne Society,4/5,paglierino con riflessi rossastri,"Naso: agrumato e frutta gialla, crema pasticcera","Bocca: fresco e sapido, leggera mandorla, ottima struttura e persistenza, leggero caldo alcolico, buona bevibilità",Considerazioni: gastronomico,,,
918,678,17/12/2024,Manlio Giustiniani,4/5,dorato con riflessi rossi,"Naso: agrumato, balsamico, fruttato, frutta secca, pasticceria, burro","Bocca: fresco e leggermente sapido, ottima struttura e persistenza, molto equilibrato ma è una 18 e la perdo sul retropalato",Considerazioni: ottima bottiglia,,,
919,679,09/11/2024,Casa,4/5,paglierino,"Naso: bello, complesso, coinvolgente, ampie note fruttate di frutta gialla e rossa per andare poi su note di pasticceria","Bocca: fresco e sapido, gustativa mente su note piacevolmente solo leggermente dolci e lattiche, buona struttura che si perde un po’ nel retropalato probabilmente per annata 18 e persistenza, grande bevibilità","Considerazioni: bella bottiglia, da riprovare, valida in tutti o contesti",,,
920,680,17/12/2024,Manlio Giustiniani,"3,5-4/5",paglierino,"Naso: agrume di limone, fruttato del bianco al giallo, tropicale di mango, frutta secca, pasticceria, poi arriva nota balsamica","Bocca: fresco e sapido, aroma di agrume e leggera nocciola, buona struttura e persistenza, ottima bevibilità,",Considerazioni: complesso,,,
921,681,05/05/2024,Rovello 18 - Milano,4/5,dorato con riflessi rossastri,"Naso: complesso ed equilibrato, frutta gialla e rossa, sentori di mineralita e pasticceria, miele","Bocca: fresco e sapido, bell’ingresso in bocca, ottima struttura e corpo, complessità aromatica e ottima bevibilità","Considerazioni: vino di ottima qualità, profondo ma non complicato, piacevole e godibile",,,
922,682,17/12/2024,Manlio Giustiniani,"3,5-4/5",dorato con riflessi rossi,"Naso: agrume di mandarino e pompelmo, frutta bianca (pera, mela), frutta gialla, pasticceria","Bocca: fresco e sapido, buona struttura e persistenza, minerale leggero, note aromatiche mentolato e liquirizia, bella bevibilità","Considerazioni: ottimo, molto interessante, pieno, moderno",,,
923,683,07/09/2023,Coq et Vins - Champagne Society,"3,5-4/5",paglierino,"Naso: frutta bianca e agrume, poi pasticceria","Bocca: fresco e sapido, di struttura e persistente","Considerazioni: uno Chardonnay diverso dalla cotes de blancs,",,,
924,684,29/11/2023,Ciz Cantina e Cucina,4/5,"dorato, bolla elegante","Naso: frutta rossa e gialla,agrume, pasticceria","Bocca: fresco e sapido, bolla elegante e fragrante, aromi di agrume di pompelmo, frutta rossa e mandorla",Considerazioni: ottimo vino,,,
925,685,02/03/2024,02/03/2024 - Casa,"3,5-4/5",dorato,"Naso: complesso già al primo approccio, frutta rossa e agrume, floreale, frutta secca e terziari (pasticceria, crema)","Bocca: fresco e sapido come vuoi uno champagne, bolla croccante e divertente ma elegante, sentori di agrume, frutta (senti l’uva), frutta secca, mandorla e nocciola; lunga persistenza e ottima bevibilità","Considerazioni: molto buono, da aperitivo e da tavola",,,
926,686,19/10/2024,Exe Maranello - Champagne Society,"4,5/5",dorato con riflessi rossi,"Naso: struttura complessa, frutto rosso, speziato, floreale,","Bocca: fresco, ottima struttura e persistenza, acidità che stimola salivazione",,,,
927,687,22/03/2025,Il boschetto (Modena) - Champagne Society,"3,5-4/5",dorato con riflessi rossi,"Naso: agrumato e frutta rossa, pasticceria","Bocca: ciccio, punta dolce e sapidità,","Giudizio Genarale: buono ma non il mio vino, troppo grasso",,,
928,688,03/07/2024,casa (porto Azzurro),"3,5-4/5","dorato, bolla fine","Naso: bella complessità, dal fruttato giallo e rosso all’agrumato, minerale, frutta candita, delicate note evolutive tra cui leggero incenso","Bocca: fresco e sapido, minerale, di bella struttura e persistenza, ottima bevibilità","Considerazioni: complesso, forse non x tutti ma intrigante",,,
